type,count,amount,name,year,quarter,state
TOTAL,130104,262954158.27917016,perambalur district,2019,4,tamil-nadu
TOTAL,5937176,11949970482.923735,coimbatore district,2019,4,tamil-nadu
TOTAL,371435,780408757.3399825,virudhunagar district,2019,4,tamil-nadu
TOTAL,570988,1157558219.820724,dindigul district,2019,4,tamil-nadu
TOTAL,293949,681274042.3255894,sivaganga district,2019,4,tamil-nadu
TOTAL,193559,403713924.4305418,tenkasi district,2019,4,tamil-nadu
TOTAL,7809082,9083457170.596087,chengalpattu district,2019,4,tamil-nadu
TOTAL,421655,795547991.5668749,kanniyakumari district,2019,4,tamil-nadu
TOTAL,360780,745395226.0570003,tirunelveli district,2019,4,tamil-nadu
TOTAL,4441180,7308502938.397885,thiruvallur district,2019,4,tamil-nadu
TOTAL,256489,559543041.1831771,theni district,2019,4,tamil-nadu
TOTAL,421689,816050436.4792322,ranipet district,2019,4,tamil-nadu
TOTAL,559495,1234659045.0414333,namakkal district,2019,4,tamil-nadu
TOTAL,1053293,1572585255.604042,vellore district,2019,4,tamil-nadu
TOTAL,169631,333129126.8343694,thiruvarur district,2019,4,tamil-nadu
TOTAL,1199094,2346754055.982828,tiruchirappalli district,2020,1,tamil-nadu
TOTAL,268096,551491648.9763203,ramanathapuram district,2020,1,tamil-nadu
TOTAL,1806032,3381602583.567412,krishnagiri district,2020,1,tamil-nadu
TOTAL,669682,1217389579.539032,cuddalore district,2020,1,tamil-nadu
TOTAL,3618880,5144042351.014135,kancheepuram district,2020,1,tamil-nadu
TOTAL,1918620,3829323477.068222,tiruppur district,2020,1,tamil-nadu
TOTAL,710147,1428767862.8124611,dharmapuri district,2020,1,tamil-nadu
TOTAL,429017,812706179.7567607,thoothukkudi district,2020,1,tamil-nadu
TOTAL,741474,1219035469.0939274,thanjavur district,2020,1,tamil-nadu
TOTAL,1334450,2667507196.7747316,madurai district,2020,1,tamil-nadu
TOTAL,701438,1285320071.0873718,tiruvannamalai district,2020,1,tamil-nadu
TOTAL,1816883,3938965855.265399,salem district,2020,1,tamil-nadu
TOTAL,286488,547649427.1614035,nagapattinam district,2020,1,tamil-nadu
TOTAL,497274,918744039.3870187,tirupathur district,2020,1,tamil-nadu
TOTAL,165086,313673706.1626035,ariyalur district,2020,1,tamil-nadu
TOTAL,21747309,40923609646.495,chennai district,2020,1,tamil-nadu
TOTAL,286999,541866233.1436044,the nilgiris district,2020,1,tamil-nadu
TOTAL,1099499,2216542209.891259,erode district,2020,1,tamil-nadu
TOTAL,295868,575547948.160764,karur district,2020,1,tamil-nadu
TOTAL,389050,749829658.229165,kallakkurichi district,2020,1,tamil-nadu
TOTAL,597802,1047289608.22813,viluppuram district,2020,1,tamil-nadu
TOTAL,311955,586368876.6260985,pudukkottai district,2020,1,tamil-nadu
TOTAL,145161,268745282.72051567,perambalur district,2020,1,tamil-nadu
TOTAL,6238270,11125605562.452183,coimbatore district,2020,1,tamil-nadu
TOTAL,479760,905206376.5507178,virudhunagar district,2020,1,tamil-nadu
TOTAL,709993,1404557847.0136855,dindigul district,2020,1,tamil-nadu
TOTAL,325464,668117971.0738193,sivaganga district,2020,1,tamil-nadu
TOTAL,243203,464791849.43443143,tenkasi district,2020,1,tamil-nadu
TOTAL,8891884,10378205348.593529,chengalpattu district,2020,1,tamil-nadu
TOTAL,496514,897557961.7598515,kanniyakumari district,2020,1,tamil-nadu
TOTAL,456558,862756791.3530397,tirunelveli district,2020,1,tamil-nadu
TOTAL,5190597,8255497494.992451,thiruvallur district,2020,1,tamil-nadu
TOTAL,317448,663250209.0122557,theni district,2020,1,tamil-nadu
TOTAL,510180,954319079.6542504,ranipet district,2020,1,tamil-nadu
TOTAL,608364,1275350220.2316668,namakkal district,2020,1,tamil-nadu
TOTAL,1236004,1793602013.1346076,vellore district,2020,1,tamil-nadu
TOTAL,212930,408094487.0434287,thiruvarur district,2020,1,tamil-nadu
TOTAL,1239752,2259353198.2312646,tiruchirappalli district,2020,2,tamil-nadu
TOTAL,403786,661632822.2122507,ramanathapuram district,2020,2,tamil-nadu
TOTAL,1815882,2926042853.4562645,krishnagiri district,2020,2,tamil-nadu
TOTAL,929530,1458835726.4592264,cuddalore district,2020,2,tamil-nadu
TOTAL,2203060,3393883768.0840974,kancheepuram district,2020,2,tamil-nadu
TOTAL,1672101,2911511483.8182716,tiruppur district,2020,2,tamil-nadu
TOTAL,971777,1539558695.6271136,dharmapuri district,2020,2,tamil-nadu
TOTAL,585510,938884780.0900332,thoothukkudi district,2020,2,tamil-nadu
TOTAL,783386,1304374742.2084258,thanjavur district,2020,2,tamil-nadu
TOTAL,1479517,2674909377.6650577,madurai district,2020,2,tamil-nadu
TOTAL,1016764,1564647529.0364478,tiruvannamalai district,2020,2,tamil-nadu
TOTAL,1996687,3860454261.651264,salem district,2020,2,tamil-nadu
TOTAL,390613,608201139.5141095,nagapattinam district,2020,2,tamil-nadu
TOTAL,631124,960294057.5729527,tirupathur district,2020,2,tamil-nadu
TOTAL,263779,410063988.60662913,ariyalur district,2020,2,tamil-nadu
TOTAL,12611208,29147317644.503105,chennai district,2020,2,tamil-nadu
TOTAL,355454,581703441.9510607,the nilgiris district,2020,2,tamil-nadu
TOTAL,1139240,2119973187.1860313,erode district,2020,2,tamil-nadu
TOTAL,382119,633428413.9921837,karur district,2020,2,tamil-nadu
TOTAL,607847,980428588.7206059,kallakkurichi district,2020,2,tamil-nadu
TOTAL,766917,1162943132.2356915,viluppuram district,2020,2,tamil-nadu
TOTAL,459794,750888437.2587082,pudukkottai district,2020,2,tamil-nadu
TOTAL,198639,329964998.7805215,perambalur district,2020,2,tamil-nadu
TOTAL,4598586,9331489602.73216,coimbatore district,2020,2,tamil-nadu
TOTAL,638466,1035203731.1760523,virudhunagar district,2020,2,tamil-nadu
TOTAL,875201,1467678448.642478,dindigul district,2020,2,tamil-nadu
TOTAL,466843,832938854.3656999,sivaganga district,2020,2,tamil-nadu
TOTAL,393743,607997551.0017486,tenkasi district,2020,2,tamil-nadu
TOTAL,3911793,5672393784.752347,chengalpattu district,2020,2,tamil-nadu
TOTAL,642785,1002764983.21273,kanniyakumari district,2020,2,tamil-nadu
TOTAL,595006,981716780.5785341,tirunelveli district,2020,2,tamil-nadu
TOTAL,3872452,6511946063.8743,thiruvallur district,2020,2,tamil-nadu
TOTAL,456942,841976234.1873717,theni district,2020,2,tamil-nadu
TOTAL,609090,998988164.0633076,ranipet district,2020,2,tamil-nadu
TOTAL,686147,1323772060.7081692,namakkal district,2020,2,tamil-nadu
TOTAL,907130,1535487877.7360196,vellore district,2020,2,tamil-nadu
TOTAL,311440,502858490.9367853,thiruvarur district,2020,2,tamil-nadu
TOTAL,1609739,3502678622.7949715,tiruchirappalli district,2020,3,tamil-nadu
TOTAL,450267,948111943.4278743,ramanathapuram district,2020,3,tamil-nadu
TOTAL,2701216,4989224721.359926,krishnagiri district,2020,3,tamil-nadu
TOTAL,1103451,2101118231.9752603,cuddalore district,2020,3,tamil-nadu
TOTAL,3333347,5572087481.284177,kancheepuram district,2020,3,tamil-nadu
TOTAL,2654998,5542739051.315315,tiruppur district,2020,3,tamil-nadu
TOTAL,1221794,2483972861.1500587,dharmapuri district,2020,3,tamil-nadu
TOTAL,720309,1430208948.909895,thoothukkudi district,2020,3,tamil-nadu
TOTAL,932026,1944980672.5183542,thanjavur district,2020,3,tamil-nadu
TOTAL,2157858,4867134340.423642,madurai district,2020,3,tamil-nadu
TOTAL,1117986,2109539881.7810178,tiruvannamalai district,2020,3,tamil-nadu
TOTAL,3016579,6990924402.004694,salem district,2020,3,tamil-nadu
TOTAL,442833,905174369.872862,nagapattinam district,2020,3,tamil-nadu
TOTAL,767383,1468351781.2540286,tirupathur district,2020,3,tamil-nadu
TOTAL,290012,560977093.7598886,ariyalur district,2020,3,tamil-nadu
TOTAL,17354210,39868873382.45007,chennai district,2020,3,tamil-nadu
TOTAL,426914,842011481.384361,the nilgiris district,2020,3,tamil-nadu
TOTAL,1662818,3580607368.6476808,erode district,2020,3,tamil-nadu
TOTAL,476013,959688140.4116528,karur district,2020,3,tamil-nadu
TOTAL,709498,1411184195.1598125,kallakkurichi district,2020,3,tamil-nadu
TOTAL,890428,1650714869.6221972,viluppuram district,2020,3,tamil-nadu
TOTAL,511066,1002875479.7404414,pudukkottai district,2020,3,tamil-nadu
TOTAL,248365,486856551.5866273,perambalur district,2020,3,tamil-nadu
TOTAL,6742559,13861133095.484821,coimbatore district,2020,3,tamil-nadu
TOTAL,755042,1537205704.5032408,virudhunagar district,2020,3,tamil-nadu
TOTAL,1046352,2133131071.9329844,dindigul district,2020,3,tamil-nadu
TOTAL,560050,1214796694.780692,sivaganga district,2020,3,tamil-nadu
TOTAL,437580,877523651.9291975,tenkasi district,2020,3,tamil-nadu
TOTAL,5205491,7909757202.294512,chengalpattu district,2020,3,tamil-nadu
TOTAL,807770,1584289202.7996368,kanniyakumari district,2020,3,tamil-nadu
TOTAL,735138,1502249272.994345,tirunelveli district,2020,3,tamil-nadu
TOTAL,5496010,10295422113.34424,thiruvallur district,2020,3,tamil-nadu
TOTAL,536068,1206090412.7910213,theni district,2020,3,tamil-nadu
TOTAL,758850,1435344028.935311,ranipet district,2020,3,tamil-nadu
TOTAL,878266,1988968361.8025646,namakkal district,2020,3,tamil-nadu
TOTAL,1172385,2371471268.3532925,vellore district,2020,3,tamil-nadu
TOTAL,347154,703997543.8828171,thiruvarur district,2020,3,tamil-nadu
TOTAL,2464746,5291331688.157503,tiruchirappalli district,2020,4,tamil-nadu
TOTAL,622498,1360009136.1764975,ramanathapuram district,2020,4,tamil-nadu
TOTAL,5011992,9044884706.251484,krishnagiri district,2020,4,tamil-nadu
TOTAL,1633984,3084770467.789626,cuddalore district,2020,4,tamil-nadu
TOTAL,6509711,9795433898.261469,kancheepuram district,2020,4,tamil-nadu
TOTAL,4364806,8662796446.594257,tiruppur district,2020,4,tamil-nadu
TOTAL,1902446,4029773950.47177,dharmapuri district,2020,4,tamil-nadu
TOTAL,1025293,2096065758.5672612,thoothukkudi district,2020,4,tamil-nadu
TOTAL,1385065,2813748477.8655963,thanjavur district,2020,4,tamil-nadu
TOTAL,3222620,7010358411.213523,madurai district,2020,4,tamil-nadu
TOTAL,1662872,3151358781.4440365,tiruvannamalai district,2020,4,tamil-nadu
TOTAL,4407759,9865912487.837538,salem district,2020,4,tamil-nadu
TOTAL,664899,1298601389.6956697,nagapattinam district,2020,4,tamil-nadu
TOTAL,1301514,2436174292.046173,tirupathur district,2020,4,tamil-nadu
TOTAL,387497,743274399.6431041,ariyalur district,2020,4,tamil-nadu
TOTAL,24172148,46230345977.314285,chennai district,2020,4,tamil-nadu
TOTAL,715903,1389804925.0072508,the nilgiris district,2020,4,tamil-nadu
TOTAL,2534766,5126731992.032161,erode district,2020,4,tamil-nadu
TOTAL,721954,1457183761.2301733,karur district,2020,4,tamil-nadu
TOTAL,959178,1942813252.5128467,kallakkurichi district,2020,4,tamil-nadu
TOTAL,1372880,2475210959.1676445,viluppuram district,2020,4,tamil-nadu
TOTAL,724855,1483819411.301909,pudukkottai district,2020,4,tamil-nadu
TOTAL,365657,715175756.890573,perambalur district,2020,4,tamil-nadu
TOTAL,10473572,18723397961.28515,coimbatore district,2020,4,tamil-nadu
TOTAL,1102516,2383190479.025921,virudhunagar district,2020,4,tamil-nadu
TOTAL,1631369,3318607660.087685,dindigul district,2020,4,tamil-nadu
TOTAL,797194,1721864988.6506038,sivaganga district,2020,4,tamil-nadu
TOTAL,609674,1274667229.591744,tenkasi district,2020,4,tamil-nadu
TOTAL,10168033,13669246947.729094,chengalpattu district,2020,4,tamil-nadu
TOTAL,1166505,2382779400.116146,kanniyakumari district,2020,4,tamil-nadu
TOTAL,1111193,2260434387.216198,tirunelveli district,2020,4,tamil-nadu
TOTAL,10184454,17303936393.2994,thiruvallur district,2020,4,tamil-nadu
TOTAL,804224,1801741591.6517766,theni district,2020,4,tamil-nadu
TOTAL,1248949,2325606203.7697453,ranipet district,2020,4,tamil-nadu
TOTAL,1351038,3027640522.714216,namakkal district,2020,4,tamil-nadu
TOTAL,1923419,3810475312.8014083,vellore district,2020,4,tamil-nadu
TOTAL,472518,964028095.5818014,thiruvarur district,2020,4,tamil-nadu
TOTAL,2534430,5757901187.932753,tiruchirappalli district,2021,1,tamil-nadu
TOTAL,631789,1554931692.7774014,ramanathapuram district,2021,1,tamil-nadu
TOTAL,5202492,9440763059.482832,krishnagiri district,2021,1,tamil-nadu
TOTAL,1707504,3517107575.659477,cuddalore district,2021,1,tamil-nadu
TOTAL,7239244,10815729803.342922,kancheepuram district,2021,1,tamil-nadu
TOTAL,4975985,9855808601.269077,tiruppur district,2021,1,tamil-nadu
TOTAL,1935044,4467489202.169479,dharmapuri district,2021,1,tamil-nadu
TOTAL,1024223,2295990424.1404276,thoothukkudi district,2021,1,tamil-nadu
TOTAL,1422654,3220591281.6633296,thanjavur district,2021,1,tamil-nadu
TOTAL,3516926,7776155489.0908375,madurai district,2021,1,tamil-nadu
TOTAL,1645538,3445029710.066068,tiruvannamalai district,2021,1,tamil-nadu
TOTAL,5675889,12397067358.312304,salem district,2021,1,tamil-nadu
TOTAL,689365,1537599764.657482,nagapattinam district,2021,1,tamil-nadu
TOTAL,1373386,2765064695.423464,tirupathur district,2021,1,tamil-nadu
TOTAL,381503,827174237.8486408,ariyalur district,2021,1,tamil-nadu
TOTAL,39623781,67401706552.93741,chennai district,2021,1,tamil-nadu
TOTAL,765592,1525536741.0368812,the nilgiris district,2021,1,tamil-nadu
TOTAL,3015359,6105816825.193926,erode district,2021,1,tamil-nadu
TOTAL,743870,1632503232.2905831,karur district,2021,1,tamil-nadu
TOTAL,992263,2227491859.8830943,kallakkurichi district,2021,1,tamil-nadu
TOTAL,1447099,2796485186.5226917,viluppuram district,2021,1,tamil-nadu
TOTAL,717862,1670160006.5136104,pudukkottai district,2021,1,tamil-nadu
TOTAL,362847,795881350.4264938,perambalur district,2021,1,tamil-nadu
TOTAL,13630124,22657497371.80345,coimbatore district,2021,1,tamil-nadu
TOTAL,1109562,2480352479.604073,virudhunagar district,2021,1,tamil-nadu
TOTAL,1675353,3733288913.068657,dindigul district,2021,1,tamil-nadu
TOTAL,803444,1871616574.1551266,sivaganga district,2021,1,tamil-nadu
TOTAL,586227,1368272015.8617854,tenkasi district,2021,1,tamil-nadu
TOTAL,11689531,15537387199.626888,chengalpattu district,2021,1,tamil-nadu
TOTAL,1190574,2593569110.9656763,kanniyakumari district,2021,1,tamil-nadu
TOTAL,1143931,2464834832.450224,tirunelveli district,2021,1,tamil-nadu
TOTAL,11085004,18895161862.27714,thiruvallur district,2021,1,tamil-nadu
TOTAL,831827,1963096378.715371,theni district,2021,1,tamil-nadu
TOTAL,1250636,2494409737.4287558,ranipet district,2021,1,tamil-nadu
TOTAL,1391436,3321591123.8563447,namakkal district,2021,1,tamil-nadu
TOTAL,2072042,4306538176.971644,vellore district,2021,1,tamil-nadu
TOTAL,472338,1150542258.225264,thiruvarur district,2021,1,tamil-nadu
TOTAL,2802791,5989876679.724473,tiruchirappalli district,2021,2,tamil-nadu
TOTAL,798185,1781472318.7188895,ramanathapuram district,2021,2,tamil-nadu
TOTAL,5709389,10202810394.134584,krishnagiri district,2021,2,tamil-nadu
TOTAL,2104002,3951860482.8076982,cuddalore district,2021,2,tamil-nadu
TOTAL,6712965,10372666957.168972,kancheepuram district,2021,2,tamil-nadu
TOTAL,5150795,9379303653.11161,tiruppur district,2021,2,tamil-nadu
TOTAL,2359010,4862765621.436455,dharmapuri district,2021,2,tamil-nadu
TOTAL,1235343,2578339769.1596274,thoothukkudi district,2021,2,tamil-nadu
TOTAL,1640555,3416074243.8248944,thanjavur district,2021,2,tamil-nadu
TOTAL,3953976,8300059490.344873,madurai district,2021,2,tamil-nadu
TOTAL,1985072,3856475911.7971444,tiruvannamalai district,2021,2,tamil-nadu
TOTAL,6557056,13210082950.603289,salem district,2021,2,tamil-nadu
TOTAL,791395,1603740775.831827,nagapattinam district,2021,2,tamil-nadu
TOTAL,1664696,3096439056.0077715,tirupathur district,2021,2,tamil-nadu
TOTAL,497484,968590644.6844518,ariyalur district,2021,2,tamil-nadu
TOTAL,43737916,74499227803.6517,chennai district,2021,2,tamil-nadu
TOTAL,810947,1566496075.5969553,the nilgiris district,2021,2,tamil-nadu
TOTAL,3273510,6223483781.161043,erode district,2021,2,tamil-nadu
TOTAL,878890,1756585805.1623807,karur district,2021,2,tamil-nadu
TOTAL,1265522,2528572642.064455,kallakkurichi district,2021,2,tamil-nadu
TOTAL,1691100,3055469304.042017,viluppuram district,2021,2,tamil-nadu
TOTAL,887414,1878724769.0651233,pudukkottai district,2021,2,tamil-nadu
TOTAL,435091,918814447.3710897,perambalur district,2021,2,tamil-nadu
TOTAL,13478464,22760967333.98004,coimbatore district,2021,2,tamil-nadu
TOTAL,1328980,2829209746.352104,virudhunagar district,2021,2,tamil-nadu
TOTAL,1926229,4084399404.4486322,dindigul district,2021,2,tamil-nadu
TOTAL,991039,2138901770.5194092,sivaganga district,2021,2,tamil-nadu
TOTAL,747381,1613264780.7995117,tenkasi district,2021,2,tamil-nadu
TOTAL,10075805,14457269251.206604,chengalpattu district,2021,2,tamil-nadu
TOTAL,1398479,3021399531.8626623,kanniyakumari district,2021,2,tamil-nadu
TOTAL,1372707,2810892734.1594667,tirunelveli district,2021,2,tamil-nadu
TOTAL,10992425,19318347570.29032,thiruvallur district,2021,2,tamil-nadu
TOTAL,1006998,2256366700.018511,theni district,2021,2,tamil-nadu
TOTAL,1430560,2810335099.931938,ranipet district,2021,2,tamil-nadu
TOTAL,1575727,3596658592.319852,namakkal district,2021,2,tamil-nadu
TOTAL,2319925,4575493116.641008,vellore district,2021,2,tamil-nadu
TOTAL,570619,1215901816.548285,thiruvarur district,2021,2,tamil-nadu
TOTAL,3736365,8136231980.2489195,tiruchirappalli district,2021,3,tamil-nadu
TOTAL,1028742,2349967987.7481923,ramanathapuram district,2021,3,tamil-nadu
TOTAL,8122339,14578072272.708693,krishnagiri district,2021,3,tamil-nadu
TOTAL,2771525,5246388698.49807,cuddalore district,2021,3,tamil-nadu
TOTAL,9646258,14550143056.676136,kancheepuram district,2021,3,tamil-nadu
TOTAL,8398025,15282996499.831757,tiruppur district,2021,3,tamil-nadu
TOTAL,3165112,6750977106.361298,dharmapuri district,2021,3,tamil-nadu
TOTAL,1648598,3549683754.7758408,thoothukkudi district,2021,3,tamil-nadu
TOTAL,2123436,4642138035.103878,thanjavur district,2021,3,tamil-nadu
TOTAL,5142737,11208939183.589071,madurai district,2021,3,tamil-nadu
TOTAL,2496046,5012701130.634172,tiruvannamalai district,2021,3,tamil-nadu
TOTAL,8972048,18517560410.078224,salem district,2021,3,tamil-nadu
TOTAL,1080569,2291158512.005002,nagapattinam district,2021,3,tamil-nadu
TOTAL,2250740,4279948252.118585,tirupathur district,2021,3,tamil-nadu
TOTAL,658430,1302833298.3803225,ariyalur district,2021,3,tamil-nadu
TOTAL,60971210,100463999673.28705,chennai district,2021,3,tamil-nadu
TOTAL,1147621,2226960234.278348,the nilgiris district,2021,3,tamil-nadu
TOTAL,4668549,9015063256.621798,erode district,2021,3,tamil-nadu
TOTAL,1215220,2538560234.489727,karur district,2021,3,tamil-nadu
TOTAL,1635742,3336289610.826971,kallakkurichi district,2021,3,tamil-nadu
TOTAL,2157103,3952931604.1340733,viluppuram district,2021,3,tamil-nadu
TOTAL,1151943,2522917992.224124,pudukkottai district,2021,3,tamil-nadu
TOTAL,569636,1164081951.2492151,perambalur district,2021,3,tamil-nadu
TOTAL,20245762,33773953433.753265,coimbatore district,2021,3,tamil-nadu
TOTAL,1750490,3906229438.3320065,virudhunagar district,2021,3,tamil-nadu
TOTAL,2698900,5791216155.941603,dindigul district,2021,3,tamil-nadu
TOTAL,1290549,2864305904.0258627,sivaganga district,2021,3,tamil-nadu
TOTAL,974832,2236394720.4405456,tenkasi district,2021,3,tamil-nadu
TOTAL,14140388,19685011908.63714,chengalpattu district,2021,3,tamil-nadu
TOTAL,1877533,4143575246.889376,kanniyakumari district,2021,3,tamil-nadu
TOTAL,1846166,3848343515.85966,tirunelveli district,2021,3,tamil-nadu
TOTAL,15395149,26049988524.55871,thiruvallur district,2021,3,tamil-nadu
TOTAL,1367368,3070541723.4354496,theni district,2021,3,tamil-nadu
TOTAL,1899157,3748580002.32146,ranipet district,2021,3,tamil-nadu
TOTAL,2234405,5151268721.204435,namakkal district,2021,3,tamil-nadu
TOTAL,3162215,6375710716.318077,vellore district,2021,3,tamil-nadu
TOTAL,716496,1641658306.3405278,thiruvarur district,2021,3,tamil-nadu
TOTAL,4814042,10030942198.946257,tiruchirappalli district,2021,4,tamil-nadu
TOTAL,1246669,2780827994.330324,ramanathapuram district,2021,4,tamil-nadu
TOTAL,10363352,18220873236.79904,krishnagiri district,2021,4,tamil-nadu
TOTAL,3416287,6301578485.45392,cuddalore district,2021,4,tamil-nadu
TOTAL,11777894,17286201190.039677,kancheepuram district,2021,4,tamil-nadu
TOTAL,11167439,18701118258.10759,tiruppur district,2021,4,tamil-nadu
TOTAL,4084248,8521324061.002514,dharmapuri district,2021,4,tamil-nadu
TOTAL,2046353,4257749141.726399,thoothukkudi district,2021,4,tamil-nadu
TOTAL,2623667,5525021230.471263,thanjavur district,2021,4,tamil-nadu
TOTAL,6309318,13464800515.296556,madurai district,2021,4,tamil-nadu
TOTAL,3112963,6154998056.425686,tiruvannamalai district,2021,4,tamil-nadu
TOTAL,11783515,22754882844.82726,salem district,2021,4,tamil-nadu
TOTAL,1340753,2671430043.215294,nagapattinam district,2021,4,tamil-nadu
TOTAL,2872662,5331962361.389108,tirupathur district,2021,4,tamil-nadu
TOTAL,807477,1566152800.1608644,ariyalur district,2021,4,tamil-nadu
TOTAL,76229690,118203166308.69281,chennai district,2021,4,tamil-nadu
TOTAL,1558845,2857114042.709935,the nilgiris district,2021,4,tamil-nadu
TOTAL,6109637,11279232350.572426,erode district,2021,4,tamil-nadu
TOTAL,1566335,3172350948.0010557,karur district,2021,4,tamil-nadu
TOTAL,2028745,4010952254.763807,kallakkurichi district,2021,4,tamil-nadu
TOTAL,2599072,4570490420.456165,viluppuram district,2021,4,tamil-nadu
TOTAL,1443125,3057748358.646205,pudukkottai district,2021,4,tamil-nadu
TOTAL,725923,1433931161.9791088,perambalur district,2021,4,tamil-nadu
TOTAL,27081380,43635817078.197556,coimbatore district,2021,4,tamil-nadu
TOTAL,2263404,5079440715.649944,virudhunagar district,2021,4,tamil-nadu
TOTAL,3475465,7239639952.948546,dindigul district,2021,4,tamil-nadu
TOTAL,1587767,3433446160.6470966,sivaganga district,2021,4,tamil-nadu
TOTAL,1188367,2702877027.9242544,tenkasi district,2021,4,tamil-nadu
TOTAL,17730987,23840432091.35557,chengalpattu district,2021,4,tamil-nadu
TOTAL,2366555,5119949451.254862,kanniyakumari district,2021,4,tamil-nadu
TOTAL,2274498,4618519539.499913,tirunelveli district,2021,4,tamil-nadu
TOTAL,19146359,31072880036.32846,thiruvallur district,2021,4,tamil-nadu
TOTAL,1763910,3864287525.995989,theni district,2021,4,tamil-nadu
TOTAL,2380328,4599239984.944193,ranipet district,2021,4,tamil-nadu
TOTAL,2959616,6469090317.722906,namakkal district,2021,4,tamil-nadu
TOTAL,4017284,7912499851.957881,vellore district,2021,4,tamil-nadu
TOTAL,892045,1980984596.362946,thiruvarur district,2021,4,tamil-nadu
TOTAL,38804,42264263.62486112,narayanpet district,2018,1,telangana
TOTAL,204137,267825160.50370258,nalgonda district,2018,1,telangana
TOTAL,80758,81262680.16798872,jangaon district,2018,1,telangana
TOTAL,129015,235828536.8619343,bhadradri kothagudem district,2018,1,telangana
TOTAL,104385,79204912.70098737,warangal rural district,2018,1,telangana
TOTAL,26226,29592040.66740245,kumuram bheem asifabad district,2018,1,telangana
TOTAL,140986,174181538.05729407,nizamabad district,2018,1,telangana
TOTAL,35960,51488627.32425585,adilabad district,2018,1,telangana
TOTAL,68682,96136732.16955987,rajanna sircilla district,2018,1,telangana
TOTAL,83679,157664183.85690188,nagarkurnool district,2018,1,telangana
TOTAL,169274,199610181.17809594,peddapalle district,2018,1,telangana
TOTAL,63804,86249120.42652902,nirmal district,2018,1,telangana
TOTAL,73810,81345319.08381961,mahabubabad district,2018,1,telangana
TOTAL,291510,399236233.1575477,sangareddy district,2018,1,telangana
TOTAL,53432,93331113.3949422,wanaparthy district,2018,1,telangana
TOTAL,70973,97615071.47672468,vikarabad district,2018,1,telangana
TOTAL,93840,119523180.71461841,jagtial district,2018,1,telangana
TOTAL,119620,154266151.70031404,yadadri bhuvanagiri district,2018,1,telangana
TOTAL,74192,89096759.16651198,medak district,2018,1,telangana
TOTAL,96136,141574548.64248246,mahbubnagar district,2018,1,telangana
TOTAL,53916,76221067.1244818,jaya shankar bhalupally district,2018,1,telangana
TOTAL,349165,421074106.9897361,warangal urban district,2018,1,telangana
TOTAL,1459174,2677304926.137567,rangareddy district,2018,1,telangana
TOTAL,2545507,4287223789.76588,hyderabad district,2018,1,telangana
TOTAL,122502,149966933.68164492,suryapet district,2018,1,telangana
TOTAL,50179,62386167.39526133,jogulamba gadwal district,2018,1,telangana
TOTAL,84914,101353626.96050598,kamareddy district,2018,1,telangana
TOTAL,26582,42538489.47995929,mulugu district,2018,1,telangana
TOTAL,1131530,1912837340.5006719,medchal malkajgiri district,2018,1,telangana
TOTAL,224324,271526470.0733862,karimnagar district,2018,1,telangana
TOTAL,127357,184652405.3695281,mancherial district,2018,1,telangana
TOTAL,144429,197965017.999628,siddipet district,2018,1,telangana
TOTAL,183964,245857422.18747443,khammam district,2018,1,telangana
TOTAL,47939,89720060.39030397,narayanpet district,2018,2,telangana
TOTAL,246677,552006649.1379006,nalgonda district,2018,2,telangana
TOTAL,88566,159864210.6172798,jangaon district,2018,2,telangana
TOTAL,189793,504562629.3259425,bhadradri kothagudem district,2018,2,telangana
TOTAL,118577,164179709.48779964,warangal rural district,2018,2,telangana
TOTAL,46393,71492908.14953437,kumuram bheem asifabad district,2018,2,telangana
TOTAL,176790,441558654.5928928,nizamabad district,2018,2,telangana
TOTAL,54205,111298713.58007899,adilabad district,2018,2,telangana
TOTAL,82594,177087238.58279282,rajanna sircilla district,2018,2,telangana
TOTAL,113222,295093168.41172683,nagarkurnool district,2018,2,telangana
TOTAL,214900,413454435.3323817,peddapalle district,2018,2,telangana
TOTAL,74066,173547534.12750036,nirmal district,2018,2,telangana
TOTAL,91024,179040419.1403302,mahabubabad district,2018,2,telangana
TOTAL,370126,717109835.7001467,sangareddy district,2018,2,telangana
TOTAL,75180,187147837.5948974,wanaparthy district,2018,2,telangana
TOTAL,93946,183439927.22003388,vikarabad district,2018,2,telangana
TOTAL,109063,246501745.5451079,jagtial district,2018,2,telangana
TOTAL,144108,291976845.0186141,yadadri bhuvanagiri district,2018,2,telangana
TOTAL,91916,177030599.57923824,medak district,2018,2,telangana
TOTAL,133679,282509191.5883919,mahbubnagar district,2018,2,telangana
TOTAL,75108,185124228.22453412,jaya shankar bhalupally district,2018,2,telangana
TOTAL,385360,729207663.2999268,warangal urban district,2018,2,telangana
TOTAL,1939856,4360690897.522385,rangareddy district,2018,2,telangana
TOTAL,3156805,6628159910.681627,hyderabad district,2018,2,telangana
TOTAL,151331,348270594.81713736,suryapet district,2018,2,telangana
TOTAL,64504,121956513.7026067,jogulamba gadwal district,2018,2,telangana
TOTAL,106971,220088004.12138897,kamareddy district,2018,2,telangana
TOTAL,34133,79124501.43852144,mulugu district,2018,2,telangana
TOTAL,1459884,3122661501.184857,medchal malkajgiri district,2018,2,telangana
TOTAL,253264,526580356.2041131,karimnagar district,2018,2,telangana
TOTAL,158011,358913706.5436819,mancherial district,2018,2,telangana
